2000 1
999389891 924955261
377367358 751403901 1856241
465247447 72813909 3597610
639867858 76722737 3864686
866719868 708480245 4048657
631253175 460082190 3089800
799466926 421515411 3701604
854760298 412745190 8164379
860255541 659012830 5862789
298013640 806027554 6199384
873448147 51156302 7291419
179901412 483160516 3498388
512216171 756168685 6789729
467129742 612495146 2997303
731844067 880143179 828117
129705074 220524549 3978637
357464856 656593164 10307342
163250521 529740534 1807633
966948660 674266289 5829112
309599838 22027250 1655798
611173210 494808980 6667897
217496893 824724034 6276008
412120194 267635796 5264103
347405451 221717161 1875505
960810004 620023096 5263726
153444887 557365440 8033264
18495406 635969357 9355808
667872724 70966134 1380447
42010725 821522573 2446223
274496390 391043576 7720215
541450401 678018100 5274703
321876879 67875471 5637453
986481053 429487736 8765002
308646511 235526625 36625
780967196 839245685 6369390
223297430 770148458 7210565
582872279 97362427 5639167
459247678 146886769 3727789
848710375 549750383 3422444
265148249 209620249 5810254
868637651 876669937 6721502
916778503 792826075 5856264
118112189 879622759 7529766
565399979 692300562 5560427
446914723 70184429 4173191
590842135 282316153 5252788
853616998 506761262 6006277
422764096 493431846 51562
117834661 273495831 8359714
36914650 479622507 5898686
538971726 359716941 5583696
374538253 570199977 1254309
256838915 522604256 4093753
36593164 562262655 7218386
337864464 806540573 9479198
313860378 41098261 5940728
94735253 778660911 3391044
798343462 590662265 5572025
731788310 486591397 8183310
849710787 611329934 9780428
162509628 180724299 389403
103062485 908398471 4558240
499180432 796414294 4309218
249706823 449357833 8047582
483969718 334494104 6127846
191308123 500041790 8242019
222280282 564904302 5496270
827882538 242680063 2067593
505999228 805391163 375114
822722896 134351559 6093240
257372115 155020661 8820695
337862767 321804244 162741
693555103 662310913 6096055
586582279 401104002 6261075
380573821 239977447 4613618
791602594 881366004 4304142
120286204 641202184 4022020
906879369 428673944 5284651
49856448 134614274 3529049
735433762 270765412 1387127
830698617 769828087 4645997
284592332 172989743 9333398
384246558 903926063 3945809
713829444 784813336 8096302
58272924 82859092 3482457
384603207 226053413 4137420
57290085 270517274 8501121
170152610 697749776 7147644
445548201 210475692 1975595
807623754 498534726 6369937
25117609 61623368 2677406
31103297 774343330 5126916
499997179 516040591 1423046
921124376 581801367 1828504
320669236 634398694 8637375
130511022 854359998 2495925
576342191 151200744 1835882
147504523 305190550 4533963
112020456 414990308 4853191
669662102 176471612 8628197
748218069 279717406 6056250
519725988 253737800 1887256
542814680 879207659 5329386
724935741 213835656 4384429
413828283 726829656 1222711
786482487 89874855 4069994
816386857 528155599 7969385
552964878 471101309 3105088
530554200 673483931 2614459
651570813 428144483 6729997
864859983 687222892 3235516
540146961 327914304 5436012
459720529 185415701 6028593
354874234 454359482 6161681
12134387 802878924 7529308
574781668 750577072 6140370
158955626 196227482 4491269
806500333 35713711 86201
14135528 835447349 4887979
584809141 188830478 1718472
381852186 674975138 3361246
678512608 423159269 7442863
413079000 334014528 3137570
951940430 799635803 678493
845483196 199385715 5450724
680124658 258024320 6463646
448862388 738870497 8198273
448042628 87799799 5627473
299395281 209899537 8104417
701680269 18406799 184912
383332038 71057529 3114483
599532764 321602309 3460399
539690193 305489449 5596728
952965730 835673234 7194690
35485678 746910582 7653722
468806857 91035114 8659947
19928883 374679635 4667079
713898007 9502833 2797322
930582186 274886859 6068860
754082309 700603960 3824890
764175073 377434975 1686618
395804837 548124387 7801989
814652842 53988358 2672266
972991677 503067369 3767628
275701333 212411162 72678
798091341 439325203 550372
573990995 326767217 10214857
693350071 80593150 7876094
383386468 181215869 544629
925264986 780544694 508849
709676982 249823330 11234942
424451248 824216903 3053285
305741436 354794026 1782554
847102980 482287426 6428588
531615574 876766399 1466558
356871388 221342177 2623684
271848694 458792934 5007799
504891558 641353387 6985181
284381023 867892799 617346
798035671 829640818 4910005
193392865 699544030 7304072
604646493 478430324 2146147
377839151 158839490 8642569
545801861 569271163 1358550
125578048 199685710 361009
489226601 605280383 1209389
236012817 464762639 2133640
490504349 658008039 2089056
435386686 139633517 6332404
385290969 728808457 81555
212172946 107512940 657837
633093471 274591465 6788058
263561962 354616921 3160378
158486509 780191559 4537309
215234093 201280245 5222187
840945738 562123475 1212623
135746348 514707477 1385113
201735010 79279848 6229417
407338938 210399749 4400151
232532169 904700212 6844600
184646370 10779272 2618923
408036562 502804009 6179630
611755712 885111859 3789484
496073237 59748390 8015067
79910008 760868466 966648
652414208 560915915 5214835
21587138 327939096 9457381
123252778 617683947 2695602
545630330 783455983 1787067
339750093 716282175 8064832
830613636 728109909 8794380
758139734 663549486 4692050
675299386 517707583 3030667
726483331 380192397 6521981
294411815 895083684 3539879
915792781 598951202 5555341
38302451 169057406 5660416
214768032 613363725 722640
170442826 677797552 1074576
979939777 74955141 2874455
755290958 4649839 287250
558985030 347560328 4146218
788375801 354878719 8647767
52317458 549012849 563332
588177195 308693442 1545854
68477305 322127264 8907193
25977516 84167845 2565714
112383080 321334522 2729421
361516047 858418790 7546000
230860637 136442772 4434234
111309389 152187186 6824954
658173207 582450103 8926142
951285657 777353027 5796601
437146435 230075292 2983666
810684533 409768011 4629426
520646317 745876618 1559674
883966173 165674530 5044717
807940541 276357961 6300793
426212891 459277620 7732435
604157558 299390974 7129509
689819436 312057969 1091130
341469962 521169068 8419579
229271326 595482356 1893086
727340001 305643569 2617382
912167404 159773489 8727459
583997638 859200908 5740298
820029764 440236630 4075857
464135944 164742663 2716593
455475100 404102511 1755769
821701746 591790325 7347278
526505644 460112896 3126590
250934278 840461573 8441708
562992366 909919422 4076867
826189913 412664587 3716371
812533853 331730966 3563028
913816757 415611333 3818352
879796817 200388690 2151600
874859282 452272579 6354059
17825977 562871647 2558439
632243149 159448909 3618416
652876407 862099495 8583964
80624192 670699343 3517334
819996938 491781583 1791675
357439781 574293203 1620864
905093231 133435412 3433161
22458207 403386600 2509143
875875092 623431969 3926936
197486076 29941116 7198278
45009558 9850499 2031249
96914826 833799372 3833438
28923796 810481825 1769266
323945609 783515964 3944192
859514675 771652725 5115622
339280427 72149873 4569784
59333510 39768172 1411601
198491513 644877440 129612
299384393 285504017 6999070
799641460 863311553 79849
239602626 207745389 2727037
935935892 400624472 2493673
116705171 841298270 6409844
27816164 883702212 999938
878859060 504191677 7514723
618551395 716665756 837125
749206325 226186657 6035334
143578218 16506992 7317744
398719029 337230213 523058
390972288 708638903 8251015
217486702 743348961 5095455
891391712 911277324 3176918
629021074 257170864 4200138
823752910 225143986 4775087
250763602 737795752 3800944
213757358 729742037 613621
377556905 453308190 2427807
216361330 398775780 8985239
175876271 832802345 5131502
495797521 852897988 6278002
626506029 57646655 5924767
892753293 290341512 5424467
948651545 190292540 8317259
627306117 620647715 265852
492696994 249854830 2805277
178226763 216805209 1285726
649457615 654968829 5402735
298887834 410816792 8097788
658125901 87006195 4630048
422694335 289319766 4932096
867952891 859800314 1179634
50132175 194517687 2469112
497487565 631956659 908863
318314168 671816172 1320718
504453343 263350043 1435277
98049574 891340392 6438877
556278193 480378236 1919334
248561406 313903897 3876970
89293836 688595515 503628
714962731 567166139 427394
73052002 351714790 2886051
238276298 804283166 4983314
714144644 195151137 8527632
800641013 146999681 1707116
484091557 838021901 5014450
905614999 319745020 6984348
650817454 464807572 768938
137127005 378357889 5571624
52121893 866025403 6506547
617162339 314869535 2153956
391215029 101018534 3518831
812426664 63106968 2905924
244407998 178056847 4383623
743777810 532035215 3529428
935001953 44882276 2999749
170041182 506304594 2640327
337536759 871538845 5276934
149085654 238429321 5281227
786861466 569933307 217755
687896203 442404763 1725639
69724911 491911396 9300337
472607952 156843193 1990252
698113216 689402453 6343723
565457634 45450127 822694
84065119 393431616 73848
60783857 732572457 989681
929374358 305801070 1157969
236827911 398933168 5014968
624736489 881339751 4206726
689942387 846689261 7608292
348069974 857442502 403373
55895599 890460491 4110956
585684704 762020494 3466369
358945788 514472937 921050
466773571 212031420 5280314
804036903 712234828 2728099
948930710 809603192 1762157
763030441 785108711 4925736
192863783 216165496 6093041
441688241 268775061 4285558
752635797 95601188 4714331
545913517 850686901 3612683
168405898 801077835 4348600
903246249 513189357 1433327
517155091 905165074 9851777
177438773 336536124 1827811
594824586 613682140 5436086
284263039 144260522 2147152
936504421 144074632 6035823
334452701 89804961 57233
537119434 177666221 9229139
335836714 345128492 9740620
555582297 76208376 6580108
27690131 534421278 4112203
632073775 635154308 1840017
542135863 124581366 7136189
719762845 717680659 4167792
943044984 587499830 5893838
96917707 436356738 6413563
559702599 673752189 4574158
191015847 836142815 200203
450419525 789563317 4857205
177334447 748964299 3225928
809987697 393063253 4780496
577313037 503820519 2337735
23364735 588448096 7430039
32459222 379418625 403471
549908752 99752004 8772777
714526201 645408040 5102223
956045496 142418691 2203806
46244730 316459787 2818308
736504104 54545002 2002604
783274066 740143018 8186860
535558646 635873150 8025261
913308206 715236979 4396462
864766680 25220974 3529605
494529476 821136685 6703067
825360163 84521592 5774147
258074229 566698916 6030271
886117431 833987961 4610961
428292940 523103581 7165875
727717456 513050954 1969301
529248412 728808998 4950868
513635908 137541620 4904067
963801857 857035135 5692783
841499317 565365033 370763
467298233 350917717 7711181
406884983 289244755 1327420
693538003 11377035 7158608
660190361 881466901 408077
189992478 448346858 5363908
155410822 112665384 7681393
520456496 844889173 3786947
890582028 731249935 2552530
115218882 62994390 5611747
587185170 639030405 9024039
121509228 718256308 6807583
364144951 433663026 3281779
930335691 213632602 7340753
825045627 365858113 8024456
625893029 100384327 7968841
325571510 914738185 3975766
393703722 353307382 4067635
78034783 190065146 7324091
282560120 767844835 6733691
263559766 179965675 2076349
884767114 400254088 5354844
981227433 194307003 5386883
149783596 398058941 1556341
732672027 900716972 4207442
570107075 137248706 4703552
70319619 613128483 4535233
475475952 754095484 2564209
506844378 429765392 8380178
870935604 346414160 5143282
663656770 248542539 3907876
676549138 81824438 2512484
295588082 505744775 4403987
243637765 376312119 307986
22221932 747426296 52359
976114222 175740372 4345442
571166037 55447895 154945
901400773 339552059 3611622
703199227 63015423 1020148
730221699 31854432 1147422
255546401 547026187 5037881
89711373 361319684 5191643
562248126 921142049 672458
635481867 609025602 5788260
867669596 838978432 3715722
411352703 707699015 5762430
184082581 80914226 3728748
512027756 393302274 2785262
17509809 275672850 8362286
876646747 600069297 933736
584127583 801681632 3238355
589110437 353290700 5767971
687834305 647652403 3995396
984385838 358660814 3894817
367333252 282350248 5013217
16235772 821899300 9310
703701260 290486318 628294
180587471 377678445 334083
61629087 658903510 6240250
445593692 884619482 7467252
566254362 567643950 9999427
494489079 907415390 1320645
578894915 170117471 3264503
882806063 733951774 1642991
228447032 660313570 330365
318198956 685593788 3278030
810728157 179487576 3517624
123651488 242356084 5460668
188324942 301661811 8014741
479900562 804072269 7274290
307315650 883383318 5760841
976021596 329170642 7764743
657263077 494065199 2940172
156140444 333166440 7253075
642065763 780877239 3573510
480029593 11654040 1567229
435541924 60413205 3511173
753725713 398881350 6733795
606462546 383454410 3506426
750064518 340039110 5789891
559935228 650154291 7363394
851105811 868715607 1840213
991118125 481988940 4354592
621308496 146569556 4027231
785071318 434465014 6901990
873391100 904172489 5428096
892304883 466860176 2794088
907978182 700579881 5097676
667624449 692303703 11207985
988158212 660526172 6329061
427665143 570419298 5430454
832829861 500860390 7604985
60785513 851516458 3349827
142709601 824465261 7565973
206900397 728705825 646786
776039419 94737787 3043267
651882257 32962534 6917837
756253210 795091658 531847
674524354 369547862 9113318
497018756 506989098 123724
80097012 592057818 7312952
323277027 592115147 7754922
293011149 76565992 7327368
79467079 629213248 4728273
922123818 716809310 119413
705423875 402237086 8585334
140176416 146994203 3732151
641001102 110320309 2567863
713415679 180633324 1017951
554633374 738978680 9185409
254392606 727472362 1461056
452454073 718034205 5379024
984593457 28739199 1419808
585002632 877587186 593566
162737333 229617952 2261835
42313429 710561451 3617617
709343330 618926172 6742029
218556376 185281309 5026437
390947428 656201979 7323950
856517126 187108723 4161337
397769148 313926212 9211778
775569506 634267288 3664614
241434850 653172573 676059
690828177 909673560 4019808
538928905 553600383 52705
655054045 448350065 6228924
929272917 812915692 8827757
741612428 361385440 3203043
239393474 790828511 1395112
683243944 301289575 1096256
945621457 27176654 2215542
618450580 621069105 4248300
326945859 83039688 3748518
520590317 349139892 4548308
685063630 466756325 2606144
402902496 731309771 6540448
909967119 813203930 991133
787185087 67432739 7609411
417541394 909877896 4778527
228500068 612024543 4063478
95017511 407554432 6231045
391939061 443220246 8723253
577746948 538997115 6017496
841126905 44474554 78896
532188801 80967536 8882771
400679030 910032366 5410949
712028565 283742633 874208
215526794 15417063 1077813
555919839 230490058 4477954
246359771 882041456 3576415
321777941 183702813 6863000
622084017 638029227 4745466
805364176 705029666 578889
441328826 349889826 3479555
132413473 105319063 7194327
608131209 522514360 2729759
872890718 671119918 5332670
327437359 566951142 8271604
843705841 439850428 6840028
659929073 742433570 6904717
520272687 785326423 890790
723622525 669265332 7434470
55800445 349662724 6812589
299697301 563239028 2279700
637794289 869435211 2480575
66722132 819477941 7130051
305926348 381868542 7411855
780126092 489996938 2086943
740501937 510528472 4193107
620885019 11314085 2185005
290051673 522109640 220607
258752851 717544370 3217915
78191760 522898570 1815954
552656134 360338004 1468832
348578174 398248645 1453417
241825487 39644570 4457903
907397025 391194440 8368334
186958816 526796682 8492925
404302878 235650719 8186341
329828049 272868023 7627237
298173374 436361421 2480058
15353265 502319299 582920
846171662 140743979 1737427
130984222 443206823 354354
550444689 546378136 1315836
617460571 463241758 6194180
320618267 769477986 4606029
909806015 452964236 8572144
319147704 325313292 8117521
855012483 114190146 7023995
776713760 660779719 3597309
187143035 394091910 7750176
189849796 176916417 10817863
921213835 261756349 4305828
826933948 752166984 7094667
198895802 416630071 8460904
837468697 686802155 2955746
871223211 180144531 1259893
825530429 576210296 281710
521562177 571297069 8723033
102138347 482233816 4833857
877382680 518031323 1413609
375686441 483698627 9654686
945186724 691534426 231674
658992260 512703353 6210906
107926365 367208153 634305
43948272 59942782 1924226
503757720 664192237 2990280
227797914 853160864 2805051
249364825 861681447 6440994
632703804 482808453 6661554
171831313 563201977 4271558
467355075 394100058 5484138
38249842 392318080 6262489
474922597 495548693 6598254
87196997 292880518 3723880
465073591 798460764 652630
80899947 389721454 1214238
217848055 223902978 9201080
933355861 777844843 3928308
210156931 338192675 8429325
10690509 172819879 4053872
881418907 29391359 4958543
84817831 549483593 8110944
247056863 287373191 6178438
773453393 34353452 4352510
807669078 313480547 7816127
431790518 743462385 2359275
915878430 733033820 70319
210395301 442103631 6644965
393639782 518922294 4824870
571658062 184534700 3362055
178853565 13445517 1142264
464262888 848829777 2244404
304672965 164211803 1362437
692469138 509427592 6466464
179028130 728867828 6338639
777218064 700212987 183788
70719231 78373705 879157
547317663 505874717 7769501
277795757 491012542 9555457
729770279 263311101 1893182
467563338 908656512 8688208
472390563 59619663 3762850
798848427 102916278 6466317
160126459 812893139 4310989
265347674 92775514 11832601
149036187 732117861 6480059
443121475 482102472 7492886
246026019 768314912 2840383
642026236 399255142 3997690
219492270 650669105 6082334
890498115 353199323 4421195
632762264 123617033 1476303
262021823 773166581 4929608
608525621 113702972 3179265
392471948 410609043 1176044
230611921 421404228 5277472
242497282 329629122 3783106
371622524 57193550 2697641
282799695 880109405 5116710
228556099 378046219 4785162
38073795 457564870 2975250
908526210 855325802 3295247
876920965 643765449 5111230
384247185 879124503 4803246
484754861 862935759 892388
404264610 271731226 554131
508153806 738129573 1524609
238588131 99380988 7320631
700452873 130922481 316609
945507889 860918464 2433995
740382131 139499707 4458748
656283093 461328546 1847320
565589505 422099897 6718323
967262765 762824174 3499427
155588826 63442446 7080991
528773323 100464360 4097176
187985461 552396260 6569463
637003378 211832192 3706658
775681489 906791625 3361715
483347472 851285151 954317
245858993 269548811 6260857
677474040 335218696 4467534
300674553 714299838 4472646
977673591 48437805 5450638
762053703 22277706 1063160
276183910 626961919 2708539
845428134 301563501 5719539
665755301 390115566 6152856
738040796 814827440 3868399
233791401 718342737 300458
534049395 528805281 677443
69959760 424090171 2097419
42987921 897192628 781993
533714123 478104749 7113141
327644538 296987724 7045130
714062884 515397041 1820603
118392194 780763398 2653626
945067757 88672696 7211325
366203535 17052733 1171503
770199115 921028832 655333
984583960 769841075 7115377
440101066 574820508 2644906
379925165 765828433 7332224
47685046 788804569 5189352
978788497 872967332 5843753
757535770 617889315 4345926
266373168 124812963 3445481
169020738 98335914 1253381
567345709 851731442 2923648
818612552 296682356 5321463
606367857 900848955 6298348
109991311 25795284 9211550
492222627 357340606 7399882
211428752 543261251 4719873
43186693 85143395 4663273
660934246 411408344 2188098
439743647 428245993 4298051
264953829 891633161 6393626
485464434 444694396 8264418
475265021 308733103 6500430
526354588 55896309 8107292
518639474 505034145 5297580
787367480 778356091 9722849
248417544 634209967 6111492
349437456 206365840 4028235
824761458 62951411 1402822
559353201 836428360 5418326
636753281 430371803 2547347
904306511 570389726 6171584
559614387 157157535 3405808
541429071 660231895 4741464
825313689 914161935 5801953
556549605 530498686 5233300
59629404 694951672 2375341
23041533 906723762 1474861
894651996 758600079 7898380
714122852 699393933 3836566
567718016 289695983 7950424
264875762 335576827 4766320
336509732 480707150 1305829
432169734 899049518 6182286
147818299 799488512 575671
605403649 853701141 5700871
93416087 334683731 7011766
437688093 851564293 4849467
142113330 541312260 1939592
332878070 368898322 2855007
625094775 291928749 3078518
686638700 619895275 4472829
628383178 913838417 5274537
619636697 118434644 3535446
134020388 474156935 6261633
7209888 602961287 3130692
931879078 643784269 8715183
995665884 293620507 1121035
806132658 672332802 6162764
527980079 793599878 4612831
236642307 83515538 3618699
862015123 144253632 4537718
888173021 559451808 3547129
23910805 715319816 5324251
7684193 497663481 4071549
27591029 222063711 2067517
349228428 19892745 5569370
758064586 117944748 4333123
411152420 412611005 7234305
622812548 735237992 11943860
672479567 403948018 2054115
262264245 368092786 240604
598096854 130715270 7902760
289831769 794686975 1740019
70694548 911482039 4759978
849390400 347340853 5396279
909777884 282998148 4439841
432854804 869781490 1455291
135953390 638517586 4032744
156948528 520299040 4856339
365690561 719414058 915674
830360148 690005905 623441
201388327 374739077 1459278
92618951 35259439 1685804
760038208 644242422 3958142
724464540 821292715 2432870
806462559 347666847 3660575
469099041 423952892 8688115
236233763 319458006 2528951
756511201 379209176 3672957
70851081 404634742 6243802
969458654 898623561 1051483
653405786 269151017 5559099
453768639 250581985 3893294
606836283 347303787 291317
269078773 661019174 3071109
970878089 736819249 5907329
200729080 853237469 4315750
504700684 777060586 7959825
620350112 408274185 9896077
335404457 427275592 7816972
484525759 377210213 5517426
382019632 114390439 3854311
121655799 298520736 8825448
288970075 697666475 4485865
743587931 66847755 6366234
904793312 490340082 6254300
84499327 798549608 4736806
14431275 896285844 3568306
166349056 302836104 4494868
972574308 523776174 8915479
596121818 703545063 9651912
458874225 499737523 3161264
404519093 140924460 8829550
786400486 461952261 5306751
658642858 140344048 10064784
385801593 107357750 1249320
529452899 600032510 4798332
867320935 750824995 6958979
962282394 550122494 9854846
278114013 271403716 6063220
82856446 824620319 2830173
63293509 381447274 7315984
270605364 428906404 8062672
396538506 285758198 4000570
488042612 903290749 1104975
199799051 900102260 441455
510936956 855945284 4300555
260671304 869594604 1458163
771322153 393969924 4896565
370192553 911066793 3084048
344955907 849137903 673150
279133870 819405534 6739436
357447890 111431186 1038493
491234028 256881361 593005
587892270 77104027 6278458
487353197 689397658 1609243
39888709 649169549 7213908
745707770 754721652 8549179
837357444 662019334 2538755
14204678 44335564 5952477
397530943 627748021 5089350
740614385 445621384 778471
5777164 2
